"Date
(YY:MM:DD)","Time
(HH:MM:SS)","Time
(µs)","Ax
(m/s^2)","Ay
(m/s^2)","Az
(m/s^2)","Gx
(deg/s)","Gy
(deg/s)","Gz
(deg/s)"
2020-06-14,06:35:06,127671,-0.8571241943359375,0.8882488159179687,8.717288244628906,-178.50381679389312,-4.511450381679389,-85.87786259541984
2020-06-14,06:35:06,355323,-0.63206923828125,5.307945080566406,10.505756884765624,38.045801526717554,-95.93893129770993,84.83969465648855
2020-06-14,06:35:06,584172,4.218583325195312,-3.7708676147460936,10.723629235839843,44.17557251908397,16.587786259541986,105.83206106870229
2020-06-14,06:35:06,818218,4.46279189453125,-4.113238452148437,9.160215551757812,-35.045801526717554,-20.610687022900763,-57.916030534351144
2020-06-14,06:35:07,049173,-1.235408056640625,4.774038110351563,13.407529296875,-150.72519083969465,35.87022900763359,-170.87786259541986
2020-06-14,06:35:07,278559,-0.6607996582031249,4.498704919433593,9.09796630859375,67.0,-26.244274809160306,93.3969465648855
2020-06-14,06:35:07,508598,6.5218053222656245,-5.817910034179687,9.392453112792968,67.48091603053435,-11.114503816793894,90.3587786259542
2020-06-14,06:35:07,742244,4.429273071289062,-3.6056677001953124,9.804255798339844,-4.5038167938931295,9.099236641221374,-46.3587786259542
2020-06-14,06:35:07,970891,-1.369483349609375,3.758896606445312,9.141061938476563,-54.58015267175573,33.32824427480916,-157.0381679389313
2020-06-14,06:35:08,200285,-2.24097275390625,4.546588952636719,9.528922607421874,49.847328244274806,-38.18320610687023,124.44274809160305
2020-06-14,06:35:08,429284,5.889736083984375,-4.8506525634765625,11.341333264160156,60.41984732824427,27.984732824427482,76.68702290076335
2020-06-14,06:35:08,660028,4.548983154296875,-4.240131140136718,9.90241806640625,-8.236641221374045,-5.625954198473282,-97.4885496183206
2020-06-14,06:35:08,889669,-4.948814831542968,8.360552197265624,8.82263311767578,-59.11450381679389,31.267175572519083,-135.84732824427482
2020-06-14,06:35:09,118295,-1.426944189453125,2.4875755249023435,10.019733947753906,46.89312977099237,-26.374045801526716,140.48091603053436
2020-06-14,06:35:09,348275,6.3901242309570305,-4.860229370117187,12.646173168945312,33.29770992366412,26.717557251908396,35.969465648854964
2020-06-14,06:35:09,580954,4.604049792480469,-3.632003918457031,10.266336718749999,-23.236641221374047,-11.221374045801527,-99.81679389312977
2020-06-14,06:35:09,810867,-3.2824504760742186,8.724470849609375,13.273454003906249,-25.259541984732824,76.02290076335878,-85.57251908396947
2020-06-14,06:35:10,041123,-1.5083470458984374,3.5122938354492184,10.014945544433592,110.3587786259542,57.56488549618321,111.8473282442748
2020-06-14,06:35:10,271059,5.4515971801757805,-5.662286926269531,13.335703247070311,30.99236641221374,28.091603053435115,7.091603053435114
2020-06-14,06:35:10,504013,3.6631285400390623,-2.916137622070312,9.112331518554686,-15.603053435114504,8.473282442748092,-139.35114503816794
2020-06-14,06:35:10,738297,-1.3120225097656248,6.402095239257812,10.929530578613281,17.80916030534351,-7.015267175572519,12.580152671755725
2020-06-14,06:35:10,971658,1.7094599853515624,-0.19871873779296872,5.980715747070312,70.99236641221374,72.87786259541984,149.0763358778626
2020-06-14,06:35:11,201280,3.7517140014648436,-2.2002713256835937,11.767501159667969,-0.15267175572519084,-28.85496183206107,-25.541984732824428
2020-06-14,06:35:11,431399,0.8283937744140625,0.1388636962890625,10.366893188476562,-78.7557251908397,-35.3587786259542,-132.2290076335878
2020-06-14,06:35:11,660979,-0.852335791015625,5.6215854980468745,9.07163009033203,38.778625954198475,-60.36641221374046,58.3206106870229
2020-06-14,06:35:11,890236,3.1411925781249996,-2.39420166015625,12.990938208007812,35.17557251908397,11.229007633587786,134.73282442748092
2020-06-14,06:35:12,123712,3.9504327392578125,-3.5051112304687497,10.639832177734375,-1.7786259541984732,-34.267175572519086,-6.2748091603053435
2020-06-14,06:35:12,353213,2.4779987182617185,-1.4532804077148436,9.217676391601563,10.931297709923664,21.99236641221374,-105.77099236641222
2020-06-14,06:35:12,583521,-0.718260498046875,7.625532287597656,11.058817468261719,33.48091603053435,-0.015267175572519083,12.259541984732824
2020-06-14,06:35:12,814447,1.714248388671875,2.118868469238281,10.359710583496094,47.099236641221374,-53.778625954198475,145.36641221374046
2020-06-14,06:35:13,045827,4.680664245605469,-5.432443566894531,12.449848632812499,32.25954198473283,-0.8854961832061069,18.893129770992367
2020-06-14,06:35:13,276943,3.69664736328125,-3.526659045410156,9.246406811523437,-40.229007633587784,-17.49618320610687,-106.93893129770993
2020-06-14,06:35:13,507611,-2.530671154785156,5.875370874023437,12.322955944824217,73.77862595419847,32.48091603053435,-79.12977099236642
2020-06-14,06:35:13,738870,1.429338391113281,2.051830822753906,8.458714465332031,92.35114503816794,-14.801526717557252,84.74045801526718
2020-06-14,06:35:13,969021,4.529829541015625,-6.787561706542968,12.69884560546875,61.29770992366412,3.946564885496183,83.2442748091603
2020-06-14,06:35:14,201069,4.675875842285156,-3.840299462890625,11.693280908203125,-62.83206106870229,12.549618320610687,-99.54198473282443
2020-06-14,06:35:14,432786,-1.608903515625,6.069301208496094,11.552023010253906,11.603053435114504,0.3282442748091603,-26.244274809160306
2020-06-14,06:35:14,663313,1.1324573852539062,1.2737152832031249,10.146626635742187,63.083969465648856,6.9465648854961835,87.2442748091603
2020-06-14,06:35:14,893911,5.0206408813476555,-5.645527514648437,11.235988391113281,40.25190839694657,12.816793893129772,67.3206106870229
2020-06-14,06:35:15,124416,4.127603662109375,-3.948038537597656,9.68454571533203,-74.09160305343511,-9.49618320610687,-100.58778625954199
